,abstract,lead_paragraph,headline,keywords,sentiment
6154,Interventions in Justice Department proceedings draw scrutiny after the former national security adviser raised concerns about the president’s embrace of authoritarian leaders.,"WASHINGTON — It was late 2018, and President Recep Tayyip Erdogan of Turkey was on the phone with an unusual request for President Trump: Could he intervene with top members of his cabinet to curb or even shut down a criminal investigation into Halkbank, one of Turkey’s largest state-owned banks?",Bolton’s Book Suggests Trump Helped Erdogan and Xi,"['United States Politics and Government', 'United States International Relations', 'Embargoes and Sanctions', 'Presidential Election of 2020', 'Politics and Government', 'Halkbank', 'ZTE Corp', 'Treasury Department', 'Trump, Donald J', 'Bolton, John R', 'Barr, William P', 'Mnuchin, Steven T', 'Ross, Wilbur L Jr', 'Turkey', 'China', 'Erdogan, Recep Tayyip', 'Xi Jinping', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry']",0.2300916252349348
6157,"The Kremlin is increasing arms sales, security pacts and training programs as the American defense secretary weighs withdrawing troops from the continent.","WASHINGTON — Nearly 200 Russian mercenaries have deployed in recent months to Mozambique to combat a growing Islamic State offshoot there, even as Moscow is taking initial steps toward building a military port in the Horn of Africa that could become Russia’s first permanent base on the continent.","Russia Projects Increasing Influence in Africa, Worrying the West","['United States Defense and Military Forces', 'AFRICA', 'Russia', 'Mercenaries and Private Military Contractors', 'United States Africa Command', 'China', 'Mozambique', 'Central African Republic', 'AL QAEDA', 'Islamic State in Iraq and Syria (ISIS)', 'Esper, Mark T', 'Putin, Vladimir V']",-0.12939393348797826
6158,Rafael Ruiz always maintained he did not take part in a gang rape in 1984.,"Four times, Rafael Ruiz recalled, he rejected offers from New York prosecutors to enter a guilty plea and admit to participating in a gang rape on a Harlem rooftop in 1984, even though it would have meant serving much less time. He was under arrest but he had good reason for turning down the deals.","Sweet Justice, 25 Years Too Late, for Man Who Served Full Sentence","['False Arrests, Convictions and Imprisonments', 'Innocence Project', 'East Harlem (Manhattan, NY)']",0.35977518741826264
6161,A new wave of cooks are hosting meals that explore their personal memories and culinary traditions.,"At pop-up restaurants, where chefs temporarily set up shop in a dining room, a barn or even a dorm room, dinner is an improvisation, more jazz than symphony. For a limited time and a limited audience, a cook can riff with premeditated spontaneity.",Sharing Cultures With Pop-Up Meals,"['Cooking and Cookbooks', 'Pop-Up Stores and Restaurants', 'Chefs', 'Bucks County (Pa)', 'Union City (NJ)', 'Brooklyn (NYC)', 'Cambodia', 'Colombia', 'Congo, Democratic Republic of (Congo-Kinshasa)', 'Venezuela', 'Tate, Omar', 'Un, Chinchakriya', 'Plowshare Farms (Pipersville, Pa)', 'Martin, Leigh-Ann', 'Sebisaho, Linda A', 'Bonnin, Stephanie', 'Golip, Mercedes']",0.012496457390512304
6162,The move shows how an American effort against the Chinese wireless equipment company has stumbled.,"LONDON — Britain said on Tuesday that it would not ban equipment made by the Chinese technology giant Huawei from being used in its new high-speed 5G wireless network, the starkest sign yet that an American campaign against the telecommunications company is faltering.", Britain Gives Green Light To Huawei For 5G Work,"['Huawei Technologies Co Ltd', 'Great Britain', '5G (Wireless Communications)', 'Telephones and Telecommunications', 'Defense and Military Forces', 'Blacklisting', 'United States Politics and Government', 'Computers and the Internet', 'Trump, Donald J', 'China', 'International Trade and World Market', 'United States International Relations']",0.3058562619919749
6163,"In “Billion Dollar Brand Club,” Lawrence Ingrassia traces the rise of the direct-to-consumer revolution.","BILLION DOLLAR BRAND CLUBHow Dollar Shave Club, Warby Parker and Other Disruptors Are Remaking What We BuyBy Lawrence Ingrassia",Buy Now,"['Books and Literature', 'E-Commerce', 'Shopping and Retail', 'Entrepreneurship', 'Billion Dollar Brand Club: How Dollar Shave Club, Warby Parker, and Other Disruptors Are Remaking What We Buy (Book)', 'Ingrassia, Lawrence']",0.46447782142757627
6164,"John Bolton’s new memoir is titled “The Room Where It Happened,” nearly the same as a song from Lin-Manuel Miranda’s Broadway hit.",Wait a minute. A lyric from a Broadway show is part of the most heated political discourse of the moment? Something from a musical has actually been appended to a major national talking point?,A Curious Cameo In the Trump Trial,"['Theater', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'The Room Where It Happened: A White House Memoir (Book)', 'Bolton, John R', 'Burr, Aaron', 'Hamilton, Alexander', 'Hamilton (Play)', 'internal-storyline-no']",0.11033611195861837
6165,"Mr. Jones, the lone Democratic senator from the Deep South, is in a precarious political position as he cautiously approaches impeachment in a state where President Trump is immensely popular.","MOBILE, Ala. — Senator Doug Jones of Alabama waved a stack of legal pads in the air — all of them filled with his notes from the opening days of President Trump’s impeachment trial — and insisted he needed to hear more facts. “Yesterday’s evidence was pretty compelling,” he said in a video posted to his Twitter feed last week. “So I’m anxious to see what the president will say and do.”",Vote Is No Easy Choice for an Alabama Democrat,"['Black People', 'Voting and Voters', 'Presidential Election of 2020', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Democratic Party', 'Jones, Doug (1954- )', 'Moore, Roy S', 'ALABAMA']",0.1480194147897868
6168,"With public fury rising, the government acted on several fronts to show resolve in the face of the gravest political crisis in years.","WUHAN, China — The Chinese government scrambled to contain not only the coronavirus epidemic but also growing expressions of public fury over the management of the crisis as the death toll rose on Tuesday to at least 106.",Chinese Officials Race to Contain Public Fury Over Virus Management,"['Coronavirus (2019-nCoV)', 'Epidemics', 'Lunar New Year', 'Social Media', 'China Central Television', 'Communist Party of China', 'Li Keqiang', 'Xi Jinping']",-0.3634870853231101
6169,"Builders will be forced to take climate change, including rising sea levels, into account to win government approval for projects.","New Jersey will become the first state to require that builders take into account the impact of climate change, including rising sea levels, in order to win government approval for projects, Gov. Philip D. Murphy announced on Monday.","Builders Must Consider Climate Change and Rising Seas, New Jersey Says","['Land Use Policies', 'Greenhouse Gas Emissions', 'Regulation and Deregulation of Industry', 'Global Warming', 'Building (Construction)', 'AIR POLLUTION', 'Floods', 'Environment', 'States (US)', 'Coastal Areas', 'Department of Environmental Protection (NJ)', 'Murphy, Philip D (1957- )', 'New Jersey']",0.6319623807379484
6173,"Rain is still pouring over the affected region, overwhelming rescue workers and worsening conditions for the 18,000 people who have been forced from their homes. At least 4 people are missing.","Heavy rains have swept over southeastern Brazil, leaving at least 47 people dead and four missing and forcing over 18,000 people from their homes.",Dozens Die In Torrent Of Rainfall In Brazil,"['Floods', 'Landslides and Mudslides', 'Deaths (Fatalities)', 'Rain', 'Belo Horizonte (Brazil)', 'Minas Gerais (Brazil)']",-0.008274321171744233
6175,Federer saved seven match points against Tennys Sandgren in the fourth set of their Australian Open quarterfinal and will now play Novak Djokovic for the 50th time.,"MELBOURNE, Australia — Andre Agassi, one of tennis’s better players and deeper thinkers, used to say that one of the things he found most maddening and fascinating about the game was that it had no predetermined finish line.",‘Lucky’ Federer Earns Date With Djokovic,"['Tennis', 'Australian Open (Tennis)', 'Federer, Roger', 'Djokovic, Novak', 'Sandgren, Tennys', 'Raonic, Milos']",0.5822131436224507
6185,"Since 1956, his jewel box of a club in storied Montmartre has drawn a host of luminaries, turning the proprietor himself into one.","Michou, a flamboyant fixture of the Parisian demimonde who ran France’s most celebrated drag cabaret for more than a half-century, died on Sunday night in a hospital in Saint-Mandé, a suburb of Paris. He was 88.","Michou, 88, the Toast of Paris Nightlife","['Michou (1931- )', 'Deaths (Obituaries)', 'Transvestism', 'Bars and Nightclubs', 'Chez Michou (Paris, France)', 'Montmartre (Paris, France)']",0.3715792954618214
6187,"Organizers sought to put a spotlight on the stories of survivors, as this may be the last time that such a large number will be able to gather in one place.","AUSCHWITZ-BIRKENAU, Poland — They wore scarves emblazoned with their prisoner numbers, the same ones tattooed on their arms. Many were frail, walking only with the support of friends or relatives.",Auschwitz Survivors Warn Against Silence in Face of New Perils,"['Holocaust and the Nazi Era', 'Concentration Camps', 'World War II (1939-45)', 'Jews and Judaism', 'War Crimes, Genocide and Crimes Against Humanity', 'Auschwitz Concentration Camp', 'Yad Vashem Holocaust Museum', 'Lauder, Ronald S', 'Mengele, Josef', 'Birkenau (Poland)', 'Oswiecim (Poland)', 'Poland', 'Germany', 'Russia']",0.34407600264964183
6188,Her remains were located three months after she was reported missing and two months after her ex-boyfriend died by suicide.,"The night before Halloween, Stephanie Parze was out with family and friends. Then, she vanished. The police investigating the 25-year-old woman’s sudden disappearance from her home in New Jersey quickly zeroed in on her ex-boyfriend.  ","In Suicide Note, Ex-Boyfriend Confessed to Killing a New Jersey Woman","['Missing Persons', 'Parze, Stephanie', 'Ozbilgen, John', 'Freehold (NJ)', 'Monmouth County (NJ)', 'New Jersey', 'Murders, Attempted Murders and Homicides']",0.06759221806203639
